,Title,Cluster
0,nexgard spectra authentic  ,6
1, bundle promo  virbac cet enzymatic toothpaste dogs cats,6
2, bundle promo    nutri plus gel nutritional supplement for dogs   cats,1
3,trial bundle,5
4,classic plug in diffuser   refill ml,5
5,   sg ready  pets wet wipes  disinfection  wet tissue   grooming   dogs cats,6
6, bundle promo  petag bene bac plus fos   probiotics gel supplement,6
7,heartgard plus chews  vet approved   all sizes available ,6
8,lactose free cat   dog milk  ,9
9,  off  absolute plus colloidal silver spray,8
10,jr pet product  pure meat sticks,5
11,pre seed fertility friendly lubricant  lube women trying to conceive,5
12,natural dog company organic healing dog   pet balm   paw soother  sizes ,7
13,heartgard plus dogs chews  sizes available ,6
14,revolution for dogs  tubes ,6
15,cat recovery suit velcro skin diseases e collar alternative cats dogs after surgery,5
16, sg  pet cat surgery suit cloth recovery sterilization skin issue prevent licking,2
17,classic refill ml,5
18, authentic  ready to use disinfectant,5
19,nexgard spectra small expiry  chewable tablets ,6
20,classic spray ml,8
21, sg seller  pet dog cat anti flea advocate revolution frontline anti ear mites vet kitten puppy rabbit,3
22,offer   lizant detergent   lizard killer   most decision,5
23,oriental natural peony anti bacteria dry clean spray pets,2
24,perkytails wild alaskan salmon oil for dogs   cats   all natural omega fish oil   skin coat supplement  ,0
25, sg stock  pet medicine feeder pill popper cat dog feeding,9
26,probiotix improved  digestion  dog supplement  cat supplement  pet supplement  probiotic prebiotic,7
27,natural pet silvergiene      pure nano silver   anti bacterial  antifungal,7
28, for furry friends  flea   tick repellent spray  for dogs only ,8
29, in stock  oxbow natural science supplement small animals,4
30,keto friendly crispy pork rinds,5
31,sherwood pet health herbal supplement  digestive urinary joint prevention tripleberry vitamin c ,7
32, petsty natural cat grass can,7
33,anti fungus dedicated bacteria ringworm sporo bisul bisul itching crackle best dog cats,2
34,trustie small animal anti flea bath sand  ocean ,2
35,oticon ear problem drops,5
36,ilium ear drops dogs   amp  cats    ,1
37,revolution heartworm  flea   tick treatment dogs   cats,8
38,nexgard spectra chewable tablet for puppies   adult dogs  types    anti parasite flea ticks dewormer,5
39,natural dog company skin soother organic healing balm  sizes ,7
40, bundle deal  zeal lactose free pet milk dogs   cats,6
41,nexgard spectra   chews    shipping singapore  expiry,6
42,  himalaya   canisep cream cats dogs infective dermatomycosis care digyton immunol nefrotec himpyrin furglow,6
43,beef tail chews dogs   single ingredient no preservatives ,6
44, ready stock  epiotic sis ear cleaner for dogs   cats,6
45,nutri plus gel,6
46,rose hip vital canine premium pet supplement rosehip vital dog powder,0
47,nexgard spectra   chews    shipping singapore    expiry ,6
48,silver gel   ,5
49,tonic  bitter lemon  soda  gingerale  pack   cans x  the secret scwheppervescence ,5
50,pet milk bundle of bottle,5
51,drontal cat tablet   expiry shipping from singapore  long expiry  orginal,5
52, korea no    arrr dental chew dogs cats    hip   joint   vegetable  yummy   nutritious treats cats dogs,1
53,nexgard spectra   chews   expiry,6
54, bundle  ilium ear drops,5
55,dermoscent essential spot skin care exp,5
56,revolution for puppies kittens  fda approved ,5
57,  detick    cat   dog flea drug,3
