,Title,Cluster
0,nexgard spectra authentic  ,0
1, bundle promo  virbac cet enzymatic toothpaste dogs cats,3
2, bundle promo    nutri plus gel nutritional supplement for dogs   cats,3
3,trial bundle,0
4,classic plug in diffuser   refill ml,0
5,   sg ready  pets wet wipes  disinfection  wet tissue   grooming   dogs cats,3
6, bundle promo  petag bene bac plus fos   probiotics gel supplement,8
7,heartgard plus chews  vet approved   all sizes available ,0
8,lactose free cat   dog milk  ,6
9,  off  absolute plus colloidal silver spray,2
10,jr pet product  pure meat sticks,0
11,pre seed fertility friendly lubricant  lube women trying to conceive,0
12,natural dog company organic healing dog   pet balm   paw soother  sizes ,4
13,heartgard plus dogs chews  sizes available ,3
14,revolution for dogs  tubes ,3
15,cat recovery suit velcro skin diseases e collar alternative cats dogs after surgery,3
16, sg  pet cat surgery suit cloth recovery sterilization skin issue prevent licking,5
17,classic refill ml,2
18, authentic  ready to use disinfectant,2
19,nexgard spectra small expiry  chewable tablets ,0
20,classic spray ml,2
21, sg seller  pet dog cat anti flea advocate revolution frontline anti ear mites vet kitten puppy rabbit,1
22,offer   lizant detergent   lizard killer   most decision,0
23,oriental natural peony anti bacteria dry clean spray pets,2
24,perkytails wild alaskan salmon oil for dogs   cats   all natural omega fish oil   skin coat supplement  ,9
25, sg stock  pet medicine feeder pill popper cat dog feeding,5
26,probiotix improved  digestion  dog supplement  cat supplement  pet supplement  probiotic prebiotic,7
27,natural pet silvergiene      pure nano silver   anti bacterial  antifungal,0
28, for furry friends  flea   tick repellent spray  for dogs only ,2
29, in stock  oxbow natural science supplement small animals,4
30,keto friendly crispy pork rinds,0
31,sherwood pet health herbal supplement  digestive urinary joint prevention tripleberry vitamin c ,7
32, petsty natural cat grass can,4
33,anti fungus dedicated bacteria ringworm sporo bisul bisul itching crackle best dog cats,6
34,trustie small animal anti flea bath sand  ocean ,6
35,oticon ear problem drops,5
36,ilium ear drops dogs   amp  cats    ,5
37,revolution heartworm  flea   tick treatment dogs   cats,1
38,nexgard spectra chewable tablet for puppies   adult dogs  types    anti parasite flea ticks dewormer,0
39,natural dog company skin soother organic healing balm  sizes ,4
40, bundle deal  zeal lactose free pet milk dogs   cats,6
41,nexgard spectra   chews    shipping singapore  expiry,0
42,  himalaya   canisep cream cats dogs infective dermatomycosis care digyton immunol nefrotec himpyrin furglow,3
43,beef tail chews dogs   single ingredient no preservatives ,0
44, ready stock  epiotic sis ear cleaner for dogs   cats,5
45,nutri plus gel,8
46,rose hip vital canine premium pet supplement rosehip vital dog powder,0
47,nexgard spectra   chews    shipping singapore    expiry ,0
48,silver gel   ,8
49,tonic  bitter lemon  soda  gingerale  pack   cans x  the secret scwheppervescence ,0
50,pet milk bundle of bottle,0
51,drontal cat tablet   expiry shipping from singapore  long expiry  orginal,0
52, korea no    arrr dental chew dogs cats    hip   joint   vegetable  yummy   nutritious treats cats dogs,3
53,nexgard spectra   chews   expiry,0
54, bundle  ilium ear drops,5
55,dermoscent essential spot skin care exp,6
56,revolution for puppies kittens  fda approved ,0
57,  detick    cat   dog flea drug,1
58,pet comb removal lice flea brush pet hair combs puppy kitten cleaning tools,1
59,revolution plus cats,3
60,mobility chew   glucosamine hci  chondroitin  msm  vitamins pet dog food supplement   hip and joint  chew ,7
61, bundle  epi otic ear,5
62,frontline  plus for dogs   cats pipettes,3
63,nika fish medicine patch a tail fin rot fungus away addclear transmore general aid anti chlorine white spot fluke lice,0
64,nexgard spectra chews pack   flea   tick heartworm roundworm parasite control for dogs,1
65,kteam betta fish tonic booster k tonic,9
66,melafix   ,0
67,peanut butter suitable dogs  reserved customers purchase lickimats ,0
68,petfinest allergy chew relief immune pet dog vitamin supplement   skin itch treatment  soft chew treats ,6
69,probiotix plus  digestion  dog supplement  cat supplement  pet supplement  probiotic prebiotic,7
70, flea collar cats flea tick prevention cats months age older pack,1
71,deshedding deshedder comb,0
72,   superfood growth booster multivitamin cat  dog  rabbit  hamster supplement,5
73,eye vita   reduce tear stain   standard vit a,0
74,kmr kitten milk replacer powder,0
75,for furry friends pet   activated water sanitizer  p a w s ,2
76,   melafix all natural fish treatment,9
77,hill s science diet   cat food  no pork ,0
78,liquid gold   instant ketapang  iktp  extract natural vitamins,0
79,skin   gut probiotics dogs   cats  x sachets ,3
80,spectrum for all size dogs  chews  for heartworm worm prevention,0
81,eye vita   reduce tear stain   vet   vit a,0
82,pet first aid medical self adhesive elastic bandage colourful  x  buy    ,0
83,nexgard spectra large exp,0
84,melafix antibacterial fish medication,9
85,chews dogs  tablets ,3
86, bundle  vetoquinol viralys gel l lysine supplement cats ,8
87,nuskin ageloc yspan    no box  sg stock  free nuskin mask  lastest expiry stocks,0
88,pet ear cleanser,5
89,red adjustable pet cat anti flea mite tick collar remedy cat collar pet supplies,1
90,fish dogs salmon morsels   joint health,9
91,    local seller  ready stock  ship out within hours 天然除螨包 bedbug patch  remove mites  herb remove mites,0
92,petkit all season pet bed  dual sided design  cold  warm  memory foam  comfortable  breathable  soft  cat  dog ,5
93,colloidal silver   ,0
94,nexgard spectra   chews   expiry,0
95,kala health vitalmix  sizes  new packaging,7
96,atasco  whole goat milk powder pets   ,0
97,frontline plus dogs    doses pack ,3
98,natural science vitamin c   ,4
99,dog cat pet spray  plant base  sanitises  heals wounds  anti bacterial  fungi   viruses  treats hot spots,2
100,bene bac plus carded probiotic pet gel,8
