,Title,Cluster
0,nexgard spectra authentic  ,9
1, bundle promo  virbac cet enzymatic toothpaste dogs cats,1
2, bundle promo    nutri plus gel nutritional supplement for dogs   cats,3
3,trial bundle,9
4,classic plug in diffuser   refill ml,9
5,   sg ready  pets wet wipes  disinfection  wet tissue   grooming   dogs cats,1
6, bundle promo  petag bene bac plus fos   probiotics gel supplement,3
7,heartgard plus chews  vet approved   all sizes available ,9
8,lactose free cat   dog milk  ,6
9,  off  absolute plus colloidal silver spray,2
10,jr pet product  pure meat sticks,9
11,pre seed fertility friendly lubricant  lube women trying to conceive,9
12,natural dog company organic healing dog   pet balm   paw soother  sizes ,6
13,heartgard plus dogs chews  sizes available ,1
14,revolution for dogs  tubes ,1
15,cat recovery suit velcro skin diseases e collar alternative cats dogs after surgery,6
16, sg  pet cat surgery suit cloth recovery sterilization skin issue prevent licking,6
17,classic refill ml,9
18, authentic  ready to use disinfectant,9
19,nexgard spectra small expiry  chewable tablets ,9
20,classic spray ml,9
21, sg seller  pet dog cat anti flea advocate revolution frontline anti ear mites vet kitten puppy rabbit,6
22,offer   lizant detergent   lizard killer   most decision,9
23,oriental natural peony anti bacteria dry clean spray pets,9
24,perkytails wild alaskan salmon oil for dogs   cats   all natural omega fish oil   skin coat supplement  ,7
25, sg stock  pet medicine feeder pill popper cat dog feeding,6
26,probiotix improved  digestion  dog supplement  cat supplement  pet supplement  probiotic prebiotic,3
27,natural pet silvergiene      pure nano silver   anti bacterial  antifungal,9
28, for furry friends  flea   tick repellent spray  for dogs only ,8
29, in stock  oxbow natural science supplement small animals,0
30,keto friendly crispy pork rinds,9
31,sherwood pet health herbal supplement  digestive urinary joint prevention tripleberry vitamin c ,3
32, petsty natural cat grass can,6
33,anti fungus dedicated bacteria ringworm sporo bisul bisul itching crackle best dog cats,9
34,trustie small animal anti flea bath sand  ocean ,9
35,oticon ear problem drops,5
36,ilium ear drops dogs   amp  cats    ,1
37,revolution heartworm  flea   tick treatment dogs   cats,8
38,nexgard spectra chewable tablet for puppies   adult dogs  types    anti parasite flea ticks dewormer,9
39,natural dog company skin soother organic healing balm  sizes ,6
40, bundle deal  zeal lactose free pet milk dogs   cats,1
41,nexgard spectra   chews    shipping singapore  expiry,9
