,Title,Cluster
0,nexgard spectra authentic  ,4
1, bundle promo  virbac cet enzymatic toothpaste dogs cats,1
2, bundle promo    nutri plus gel nutritional supplement for dogs   cats,9
3,trial bundle,1
4,classic plug in diffuser   refill ml,1
5,   sg ready  pets wet wipes  disinfection  wet tissue   grooming   dogs cats,1
6, bundle promo  petag bene bac plus fos   probiotics gel supplement,9
7,heartgard plus chews  vet approved   all sizes available ,1
8,lactose free cat   dog milk  ,0
9,  off  absolute plus colloidal silver spray,2
10,jr pet product  pure meat sticks,1
11,pre seed fertility friendly lubricant  lube women trying to conceive,1
12,natural dog company organic healing dog   pet balm   paw soother  sizes ,0
13,heartgard plus dogs chews  sizes available ,1
14,revolution for dogs  tubes ,1
15,cat recovery suit velcro skin diseases e collar alternative cats dogs after surgery,1
16, sg  pet cat surgery suit cloth recovery sterilization skin issue prevent licking,1
17,classic refill ml,1
18, authentic  ready to use disinfectant,1
19,nexgard spectra small expiry  chewable tablets ,4
20,classic spray ml,1
21, sg seller  pet dog cat anti flea advocate revolution frontline anti ear mites vet kitten puppy rabbit,8
22,offer   lizant detergent   lizard killer   most decision,1
23,oriental natural peony anti bacteria dry clean spray pets,1
24,perkytails wild alaskan salmon oil for dogs   cats   all natural omega fish oil   skin coat supplement  ,7
25, sg stock  pet medicine feeder pill popper cat dog feeding,0
26,probiotix improved  digestion  dog supplement  cat supplement  pet supplement  probiotic prebiotic,0
27,natural pet silvergiene      pure nano silver   anti bacterial  antifungal,1
28, for furry friends  flea   tick repellent spray  for dogs only ,5
29, in stock  oxbow natural science supplement small animals,3
30,keto friendly crispy pork rinds,1
31,sherwood pet health herbal supplement  digestive urinary joint prevention tripleberry vitamin c ,0
32, petsty natural cat grass can,1
33,anti fungus dedicated bacteria ringworm sporo bisul bisul itching crackle best dog cats,1
34,trustie small animal anti flea bath sand  ocean ,1
35,oticon ear problem drops,8
36,ilium ear drops dogs   amp  cats    ,8
37,revolution heartworm  flea   tick treatment dogs   cats,5
38,nexgard spectra chewable tablet for puppies   adult dogs  types    anti parasite flea ticks dewormer,4
39,natural dog company skin soother organic healing balm  sizes ,0
40, bundle deal  zeal lactose free pet milk dogs   cats,7
41,nexgard spectra   chews    shipping singapore  expiry,4
42,  himalaya   canisep cream cats dogs infective dermatomycosis care digyton immunol nefrotec himpyrin furglow,1
43,beef tail chews dogs   single ingredient no preservatives ,1
44, ready stock  epiotic sis ear cleaner for dogs   cats,8
45,nutri plus gel,9
46,rose hip vital canine premium pet supplement rosehip vital dog powder,0
47,nexgard spectra   chews    shipping singapore    expiry ,4
48,silver gel   ,2
49,tonic  bitter lemon  soda  gingerale  pack   cans x  the secret scwheppervescence ,1
50,pet milk bundle of bottle,1
51,drontal cat tablet   expiry shipping from singapore  long expiry  orginal,1
52, korea no    arrr dental chew dogs cats    hip   joint   vegetable  yummy   nutritious treats cats dogs,7
53,nexgard spectra   chews   expiry,4
54, bundle  ilium ear drops,8
55,dermoscent essential spot skin care exp,1
56,revolution for puppies kittens  fda approved ,1
